model,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,hamming_loss,subset_accuracy,jaccard_samples,note
Rule-based Lexicon,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5568982880161127,Baseline explicable; score artificiel si labels=silver_labels
TF-IDF + LogisticRegression,0.926790660862683,0.9657731958762886,0.9458804523424879,0.8338204968307641,0.89152225542422,0.8374775763723842,0.00499794860318526,0.8902316213494461,0.5162732380632682,
TextCNN,0.8594798657718121,0.8449484536082474,0.8521522145976295,0.43163874169328087,0.37696242387302226,0.3714664220148101,0.013259483048002686,0.8121852970795569,0.46859026847475393,
BiLSTM + Attention,0.6931818181818182,0.7294845360824742,0.7108700020092426,0.2829846822277725,0.26898362477300025,0.2428723071406642,0.026836000149192494,0.6722054380664653,0.34229782782297435,
Transformer Encoder (distilbert-base-multilingual-cased),0.051414581066376495,0.949748743718593,0.0975483870967742,0.06402314476971459,0.8484370895718414,0.08779669333417431,0.8634567901234568,0.0,0.049756362773029444,
